,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
3736,Saguinus midas,540.56,PRIMATES,CALLITRICHIDAE,Saguinus,LC,Omnivore
3737,Saguinus mystax,555.87,PRIMATES,CALLITRICHIDAE,Saguinus,LC,Omnivore
3738,Saguinus niger,480,PRIMATES,CALLITRICHIDAE,Saguinus,VU,Omnivore
3739,Saimiri boliviensis,799.45,PRIMATES,CEBIDAE,Saimiri,LC,Omnivore
3740,Saimiri ustus,886.47,PRIMATES,CEBIDAE,Saimiri,NT,Omnivore
3741,Saimiri vanzolinii,783.77,PRIMATES,CEBIDAE,Saimiri,VU,Omnivore
3742,Salanoia concolor,711.49,CARNIVORA,EUPLERIDAE,Salanoia,VU,Omnivore
3743,Salinomys delicatus,11.75,RODENTIA,CRICETIDAE,Salinomys,DD,Omnivore
3744,Salpingotulus michaelis,3.75,RODENTIA,DIPODIDAE,Salpingotulus,DD,Herbivore
3745,Salpingotus crassicauda,9.65,RODENTIA,DIPODIDAE,Salpingotus,LC,Omnivore
3746,Salpingotus heptneri,9.65,RODENTIA,DIPODIDAE,Salpingotus,DD,Omnivore
3747,Salpingotus kozlovi,9.5,RODENTIA,DIPODIDAE,Salpingotus,LC,Omnivore
3748,Salpingotus pallidus,9.8,RODENTIA,DIPODIDAE,Salpingotus,DD,Omnivore
3749,Sauromys petrophilus,14.25,CHIROPTERA,MOLOSSIDAE,Sauromys,LC,Insectivore
3750,Saxatilomys paulinae,141.0605074,RODENTIA,MURIDAE,Saxatilomys,DD,Insectivore
3751,Scalopus aquaticus,87.15,EULIPOTYPHLA,TALPIDAE,Scalopus,LC,Omnivore
3752,Scapanulus oweni,36.64,EULIPOTYPHLA,TALPIDAE,Scapanulus,LC,Insectivore
3753,Scapanus latimanus,62.46,EULIPOTYPHLA,TALPIDAE,Scapanus,LC,Omnivore
3754,Scapanus orarius,62.13,EULIPOTYPHLA,TALPIDAE,Scapanus,LC,Insectivore
3755,Scapanus townsendii,141.7,EULIPOTYPHLA,TALPIDAE,Scapanus,LC,Insectivore
3756,Scapteromys aquaticus,112,RODENTIA,CRICETIDAE,Scapteromys,LC,Omnivore
3757,Scapteromys tumidus,146,RODENTIA,CRICETIDAE,Scapteromys,LC,Omnivore
3758,Scaptochirus moschatus,90.51,EULIPOTYPHLA,TALPIDAE,Scaptochirus,LC,Insectivore
3759,Scaptonyx fusicaudus,19.41,EULIPOTYPHLA,TALPIDAE,Scaptonyx,LC,Insectivore
3760,Sciurillus pusillus,34.91,RODENTIA,SCIURIDAE,Sciurillus,DD,Herbivore
3761,Sciurocheirus alleni,320,PRIMATES,GALAGIDAE,Sciurocheirus,LC,Omnivore
3762,Sciurocheirus gabonensis,350,PRIMATES,GALAGIDAE,Sciurocheirus,LC,Omnivore
3763,Sciurotamias davidianus,433.51,RODENTIA,SCIURIDAE,Sciurotamias,LC,Herbivore
3764,Sciurotamias forresti,433.51,RODENTIA,SCIURIDAE,Sciurotamias,LC,Herbivore
3765,Sciurus aberti,622.95,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3766,Sciurus aestuans,177.34,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3767,Sciurus alleni,465.14,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3768,Sciurus anomalus,335.3,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3769,Sciurus arizonensis,646.99,RODENTIA,SCIURIDAE,Sciurus,DD,Herbivore
3770,Sciurus aureogaster,455.57,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3771,Sciurus carolinensis,545.4,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3772,Sciurus colliaei,498,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3773,Sciurus deppei,249.5,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3774,Sciurus flammifer,4293,RODENTIA,SCIURIDAE,Sciurus,DD,Herbivore
3775,Sciurus gilvigularis,803,RODENTIA,SCIURIDAE,Sciurus,DD,Herbivore
3776,Sciurus granatensis,318.44,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3777,Sciurus griseus,703.85,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3778,Sciurus ignitus,190,RODENTIA,SCIURIDAE,Sciurus,DD,Herbivore
3779,Sciurus igniventris,700,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3780,Sciurus lis,264.3,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3781,Sciurus nayaritensis,697,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3782,Sciurus niger,761.9,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3783,Sciurus oculatus,649.98,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3784,Sciurus pucheranii,803,RODENTIA,SCIURIDAE,Sciurus,DD,Herbivore
3785,Sciurus pyrrhinus,482,RODENTIA,SCIURIDAE,Sciurus,DD,Herbivore
3786,Sciurus richmondi,237.51,RODENTIA,SCIURIDAE,Sciurus,NT,Herbivore
3787,Sciurus sanborni,136,RODENTIA,SCIURIDAE,Sciurus,DD,Herbivore
3788,Sciurus spadiceus,403.32,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3789,Sciurus stramineus,433.3,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3790,Sciurus variegatoides,485,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3791,Sciurus vulgaris,333,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3792,Sciurus yucatanensis,225,RODENTIA,SCIURIDAE,Sciurus,LC,Herbivore
3793,Scleronycteris ega,49.54,CHIROPTERA,PHYLLOSTOMIDAE,Scleronycteris,DD,Omnivore
3794,Scolomys melanops,26.5,RODENTIA,CRICETIDAE,Scolomys,LC,Omnivore
3795,Scolomys ucayalensis,26.5,RODENTIA,CRICETIDAE,Scolomys,LC,Omnivore
3796,Scoteanax rueppellii,26.41,CHIROPTERA,VESPERTILIONIDAE,Scoteanax,LC,Insectivore
3797,Scotinomys teguina,11.59,RODENTIA,CRICETIDAE,Scotinomys,LC,Insectivore
3798,Scotinomys xerampelinus,15.07,RODENTIA,CRICETIDAE,Scotinomys,LC,Insectivore
3799,Scotoecus albofuscus,4.5,CHIROPTERA,VESPERTILIONIDAE,Scotoecus,DD,Insectivore
3800,Scotoecus hirundo,8.45,CHIROPTERA,VESPERTILIONIDAE,Scotoecus,LC,Insectivore
3801,Scotoecus pallidus,6.475,CHIROPTERA,VESPERTILIONIDAE,Scotoecus,LC,Insectivore
3802,Scotomanes ornatus,22.24,CHIROPTERA,VESPERTILIONIDAE,Scotomanes,LC,Insectivore
3803,Scotonycteris ophiodon,69.42,CHIROPTERA,PTEROPODIDAE,Scotonycteris,NT,Herbivore
3804,Scotonycteris zenkeri,21.3,CHIROPTERA,PTEROPODIDAE,Scotonycteris,LC,Herbivore
3805,Scotophilus collinus,24.74625,CHIROPTERA,VESPERTILIONIDAE,Scotophilus,LC,Insectivore
3806,Scotophilus dinganii,25.12,CHIROPTERA,VESPERTILIONIDAE,Scotophilus,LC,Insectivore
3807,Scotophilus heathii,36.13,CHIROPTERA,VESPERTILIONIDAE,Scotophilus,LC,Insectivore
3808,Scotophilus kuhlii,20.31,CHIROPTERA,VESPERTILIONIDAE,Scotophilus,LC,Insectivore
