,binomial,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel,Range_km_2
158,Anisomys imitator,510.5,RODENTIA,MURIDAE,Anisomys,LC,Herbivore,156409.343607383
159,Anomalurus beecrofti,479.07,RODENTIA,ANOMALURIDAE,Anomalurus,LC,Omnivore,2366337.15643843
160,Anomalurus derbianus,665.84,RODENTIA,ANOMALURIDAE,Anomalurus,LC,Omnivore,3312151.81583002
161,Anomalurus pelii,1769.99,RODENTIA,ANOMALURIDAE,Anomalurus,DD,Omnivore,124156.766246902
162,Anomalurus pusillus,250.0,RODENTIA,ANOMALURIDAE,Anomalurus,LC,Omnivore,320333.850871577
163,Anonymomys mindorensis,141.0605074,RODENTIA,MURIDAE,Anonymomys,DD,Omnivore,469.6977285507
164,Anotomys leander,66.39,RODENTIA,CRICETIDAE,Anotomys,VU,Carnivore,7671.7295663281
165,Anoura caudifer,10.81,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,LC,Omnivore,3164979.86088413
166,Anoura cultrata,17.39,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,LC,Herbivore,33348.5387270997
167,Anoura fistulata,14.6025,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,DD,Herbivore,60904.1388020741
168,Anoura geoffroyi,15.15,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,LC,Carnivore,3427540.89114397
169,Anoura latidens,15.06,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,LC,Omnivore,80318.3115821697
170,Anoura luismanueli,14.6025,CHIROPTERA,PHYLLOSTOMIDAE,Anoura,LC,Omnivore,35697.0273698532
171,Anourosorex assamensis,20.0,EULIPOTYPHLA,SORICIDAE,Anourosorex,LC,Carnivore,2818.1863713042
172,Anourosorex schmidi,16.05244685,EULIPOTYPHLA,SORICIDAE,Anourosorex,DD,Carnivore,313.1318190338
173,Anourosorex squamipes,20.0,EULIPOTYPHLA,SORICIDAE,Anourosorex,LC,Carnivore,108656.741204729
