,binomial,AdultBodyMassG,RedListStatus,total_pop,TrophicLevel,Order,Range_km_2
182,Liberiictis kuhni,1825.47,VU,7800.0,Carnivore,CARNIVORA,43055.6251171475
183,Litocranius walleri,38804.37,NT,95000.0,Herbivore,CETARTIODACTYLA,1084845.1870426
184,Lonchophylla dekeyseri,14.12333333,EN,2500.0,Omnivore,CHIROPTERA,21136.3977847815
185,Lonchorhina fernandezi,14.03,EN,225.0,Carnivore,CHIROPTERA,105681.988923907
186,Loxodonta africana,3824540.0,EN,441683.5,Herbivore,PROBOSCIDEA,1626719.79988059
187,Lycalopex fulvipes,3085.0,EN,733.5,Omnivore,CARNIVORA,9863.6522995647
188,Lycaon pictus,21999.99,EN,6600.0,Carnivore,CARNIVORA,1173931.18955772
189,Macaca cyclopis,5748.94,LC,10000.0,Omnivore,PRIMATES,16909.1182278252
190,Macaca maura,7290.3,EN,3873.0,Omnivore,PRIMATES,5479.8068330915
191,Macaca pagensis,4534.66,CR,2787.0,Herbivore,PRIMATES,1409.0931856521
192,Macaca siberu,7500.0,VU,22583.0,Herbivore,PRIMATES,3757.5818284056
193,Macaca sylvanus,11471.53,EN,15000.0,Herbivore,PRIMATES,7828.295475845
194,Macroderma gigas,124.37,VU,11906.0,Carnivore,CHIROPTERA,935481.309363477
195,Macrogalidia musschenbroekii,5148.86,VU,13500.0,Omnivore,CARNIVORA,23641.4523370519
196,Macropus eugenii,5278.48,LC,33541.0,Herbivore,DIPROTODONTIA,5323.2409235746
197,Macropus irma,8000.0,LC,33541.0,Herbivore,DIPROTODONTIA,61217.2706211079
198,Macrotis lagotis,1229.58,VU,11619.0,Herbivore,PERAMELEMORPHIA,887415.575141789
199,Madoqua guentheri,4623.7,LC,511000.0,Herbivore,CETARTIODACTYLA,507430.112744273
200,Madoqua kirkii,4833.4,LC,971000.0,Herbivore,CETARTIODACTYLA,208545.791476511
201,Madoqua piacentinii,2500.0,DD,30000.0,Herbivore,CETARTIODACTYLA,33818.2364556504
202,Madoqua saltiana,3424.47,LC,485600.0,Herbivore,CETARTIODACTYLA,454980.533056111
203,Marmota caudata,4350.0,LC,600000.0,Herbivore,RODENTIA,254732.734783996
204,Marmota menzbieri,3250.0,VU,22000.0,Herbivore,RODENTIA,2974.7522808211
205,Marmota olympus,6299.99,LC,4243.0,Herbivore,RODENTIA,5479.8068330915
206,Marmota vancouverensis,5232.43,CR,108.0,Herbivore,RODENTIA,2191.9227332366
207,Martes gwatkinsii,2038.49,VU,1500.0,Omnivore,CARNIVORA,23171.7546085012
208,Mastacomys fuscus,125.72,NT,67082.0,Herbivore,RODENTIA,40394.0046553602
209,Mazama bororo,18335.81714,VU,12750.0,Herbivore,CETARTIODACTYLA,16752.5523183083
210,Mesembriomys gouldii,716.49,VU,45000.0,Omnivore,RODENTIA,211207.411938298
211,Mesocapromys auritus,1533.200179,EN,1335.0,Omnivore,RODENTIA,83.6147911523437
212,Microcebus berthae,33.45,EN,12000.0,Omnivore,PRIMATES,469.6977285507
213,Microtus abbreviatus,66.06,LC,465531.0,Herbivore,RODENTIA,156.5659095169
214,Microtus breweri,54.0,VU,5477.0,Herbivore,RODENTIA,1.10928727734375
215,Microtus tatricus,40.0,LC,223607.0,Herbivore,RODENTIA,12838.4045803858
216,Mirza zaza,326.5,EN,54118.0,Carnivore,PRIMATES,2974.7522808211
217,Muntiacus crinifrons,18590.01,VU,7714.0,Herbivore,CETARTIODACTYLA,32252.5773604814
218,Mustela felipei,211.3,VU,2000.0,Carnivore,CARNIVORA,34601.0660032349
219,Myotis grisescens,10.84,NT,2000000.0,Carnivore,CHIROPTERA,467818.937636497
220,Myotis planiceps,9.597169811,EN,360.0,Carnivore,CHIROPTERA,12212.1409423182
221,Myrmecobius fasciatus,511.44,EN,1200.0,Carnivore,DASYUROMORPHIA,2661.6204617873
222,Myzopoda aurita,9.1,LC,172867.0,Carnivore,CHIROPTERA,27242.4682559406
223,Myzopoda schliemanni,9.1,LC,136437.0,Carnivore,CHIROPTERA,8141.4272948788
224,Nanger dama,71424.81,CR,212.0,Herbivore,CETARTIODACTYLA,185060.905048976
225,Nanger soemmerringii,41582.93,VU,6708.0,Herbivore,CETARTIODACTYLA,136682.039008254
226,Neofelis diardi,22500.0,VU,6750.0,Carnivore,CARNIVORA,462652.262622439
227,Neotragus batesi,2967.45,LC,219000.0,Herbivore,CETARTIODACTYLA,303737.864462786
228,Neotragus pygmaeus,3913.68,LC,62000.0,Herbivore,CETARTIODACTYLA,193202.332343855
229,Nesotragus moschatus,6499.0,LC,365000.0,Herbivore,CETARTIODACTYLA,327066.184980804
230,Nilgiritragus hylocrius,75000.0,EN,1897.0,Herbivore,CETARTIODACTYLA,1722.2250046859
231,Nomascus concolor,6410.47,CR,1612.0,Herbivore,PRIMATES,7984.8613853619
232,Nomascus hainanus,7790.0,CR,20.0,Herbivore,PRIMATES,156.5659095169
233,Nomascus nasutus,7124.094,CR,69.0,Herbivore,PRIMATES,2818.1863713042
234,Notomys aquilo,38.99,EN,15000.0,Herbivore,RODENTIA,1722.2250046859
235,Notomys cervinus,34.79,NT,28460.0,Herbivore,RODENTIA,11429.3113947337
236,Notoryctes typhlops,55.0,LC,47434.0,Carnivore,NOTORYCTEMORPHIA,916536.834311932
237,Nyctalus azoreum,28.97666667,VU,3162.0,Carnivore,CHIROPTERA,469.6977285507
238,Ochotona iliensis,165.0,EN,1000.0,Herbivore,LAGOMORPHA,2191.9227332366
239,Okapia johnstoni,230001.1,EN,41833.0,Herbivore,CETARTIODACTYLA,225298.343794819
240,Onychogalea fraenata,4952.05,VU,1407.0,Herbivore,DIPROTODONTIA,3914.1477379225
241,Oreamnos americanus,72105.4,LC,97570.0,Herbivore,CETARTIODACTYLA,445116.880756547
242,Oreotragus oreotragus,13486.55,LC,42000.0,Herbivore,CETARTIODACTYLA,2564862.72970586
243,Ornithorhynchus anatinus,1484.25,NT,103308.705,Carnivore,MONOTREMATA,904011.56155058
244,Oryx beisa,200576.5,NT,47021.27,Herbivore,CETARTIODACTYLA,904794.391098165
245,Oryx gazella,188404.5,LC,373000.0,Herbivore,CETARTIODACTYLA,1478295.31765857
246,Oryx leucoryx,75788.24,VU,1220.0,Herbivore,CETARTIODACTYLA,20510.1341467139
247,Otocolobus manul,3500.0,NT,20500.0,Carnivore,CARNIVORA,2895843.06242458
248,Ourebia ourebi,17186.09,LC,750000.0,Herbivore,CETARTIODACTYLA,3606808.85754082
249,Ovibos moschatus,312500.0,LC,203109.0,Herbivore,CETARTIODACTYLA,747445.65203368
250,Ovis ammon,113998.7,NT,93187.0,Herbivore,CETARTIODACTYLA,137778.000374872
251,Ovis canadensis,74644.87,LC,62900.0,Herbivore,CETARTIODACTYLA,52293.0137786446
252,Ovis dalli,70194.13,LC,113973.0,Herbivore,CETARTIODACTYLA,64192.022901929
253,Ovis nivicola,90000.0,LC,89861.0,Herbivore,CETARTIODACTYLA,78752.6524870007
254,Ozotoceros bezoarticus,34620.4,NT,40000.0,Herbivore,CETARTIODACTYLA,226394.305161437
255,Pan troglodytes,45000.0,EN,402679.0,Herbivore,PRIMATES,2124755.95805385
256,Panthera leo,158623.9,VU,32000.0,Carnivore,CARNIVORA,1455436.6948691
257,Panthera onca,83943.09,NT,64000.0,Carnivore,CARNIVORA,8948211.42661938
258,Panthera tigris,161914.7,EN,3913.0,Carnivore,CARNIVORA,569586.778822482
259,Panthera uncia,41000.0,VU,7500.0,Carnivore,CARNIVORA,2242180.39019152
260,Pantholops hodgsonii,32733.12,NT,225000.0,Herbivore,CETARTIODACTYLA,156.5659095169
261,Parantechinus apicalis,71.31,EN,1050.0,Carnivore,DASYUROMORPHIA,2974.7522808211
262,Pelea capreolus,22731.33,NT,18000.0,Herbivore,CETARTIODACTYLA,67166.7751827501
263,Pentalagus furnessi,2253.25,EN,5000.0,Herbivore,LAGOMORPHA,156.5659095169
264,Perameles bougainville,230.8,VU,3354.0,Omnivore,PERAMELEMORPHIA,156.5659095169
265,Perameles gunnii,903.46,VU,37723.005,Omnivore,PERAMELEMORPHIA,9863.6522995647
266,Peromyscus mekisturus,59.99,CR,11.0,Omnivore,RODENTIA,2974.7522808211
267,Petauroides volans,1257.17,VU,237171.0,Herbivore,DIPROTODONTIA,218409.443776075
268,Petaurus australis,567.15,NT,237171.0,Omnivore,DIPROTODONTIA,120868.882147047
269,Petrogale concinna,1398.2,EN,10607.0,Herbivore,DIPROTODONTIA,81414.272948788
270,Petrogale godmani,4750.0,NT,15000.0,Herbivore,DIPROTODONTIA,36166.7250984039
271,Petrogale lateralis,4567.88,VU,10954.0,Herbivore,DIPROTODONTIA,108030.477566661
272,Petrogale mareeba,4644.155385,NT,15000.0,Herbivore,DIPROTODONTIA,19570.7386896125
273,Petrogale penicillata,6931.6,VU,21213.0,Herbivore,DIPROTODONTIA,53388.9751452629
