,Unnamed: 0,binomial,AdultBodyMassG,RedListStatus,total_pop,TrophicLevel,Order,Range_km_2,gen_length_d
236,236,Notoryctes typhlops,55,LC,47434,Carnivore,NOTORYCTEMORPHIA,916536.834311932,998.6765636
237,237,Nyctalus azoreum,28.97666667,VU,3162,Carnivore,CHIROPTERA,469.6977285507,1825
238,238,Ochotona iliensis,165,EN,1000,Herbivore,LAGOMORPHA,2191.9227332366,751.47417
239,239,Okapia johnstoni,230001.1,EN,41833,Herbivore,CETARTIODACTYLA,225298.343794819,4764.235717
240,240,Onychogalea fraenata,4952.05,VU,1407,Herbivore,DIPROTODONTIA,3914.1477379225,834.8625
241,241,Oreamnos americanus,72105.4,LC,97570,Herbivore,CETARTIODACTYLA,445116.880756547,2864.106333
242,242,Oreotragus oreotragus,13486.55,LC,42000,Herbivore,CETARTIODACTYLA,2564862.72970586,2700.0653
243,243,Ornithorhynchus anatinus,1484.25,NT,103308.705,Carnivore,MONOTREMATA,904011.56155058,2878.755
244,244,Oryx beisa,200576.5,NT,47021.27,Herbivore,CETARTIODACTYLA,904794.391098165,2555
245,245,Oryx gazella,188404.5,LC,373000,Herbivore,CETARTIODACTYLA,1478295.31765857,2866.554367
246,246,Oryx leucoryx,75788.24,VU,1220,Herbivore,CETARTIODACTYLA,20510.1341467139,2663.526667
247,247,Otocolobus manul,3500,NT,20500,Carnivore,CARNIVORA,2895843.06242458,2036.1475
248,248,Ourebia ourebi,17186.09,LC,750000,Herbivore,CETARTIODACTYLA,3606808.85754082,2156.849633
249,249,Ovibos moschatus,312500,LC,203109,Herbivore,CETARTIODACTYLA,747445.65203368,3567.388333
250,250,Ovis ammon,113998.7,NT,93187,Herbivore,CETARTIODACTYLA,137778.000374872,2920
251,251,Ovis canadensis,74644.87,LC,62900,Herbivore,CETARTIODACTYLA,52293.0137786446,2634.501667
252,252,Ovis dalli,70194.13,LC,113973,Herbivore,CETARTIODACTYLA,64192.022901929,2338.92
253,253,Ovis nivicola,90000,LC,89861,Herbivore,CETARTIODACTYLA,78752.6524870007,2631.140556
