,binomial,common_name
5111,Saiga tatarica,"Saiga, Mongolian Saiga, Saiga Antelope"
5112,Thylamys tatei,NA
5113,Hylaeamys tatei,NA
5114,Eptesicus tatei,Sombre Bat
5115,Dactylopsila tatei,"Tate's Triok, Fergusson Island Striped Possum"
5116,Cabassous tatouay,Greater Naked-tailed Armadillo
5117,Microtus tatricus,Tatra Vole
5118,Propithecus tattersalli,"Golden-crowned Sifaka, Tattersall's Sifaka"
5119,Spermophilus taurensis,NA
5120,Connochaetes taurinus,"Common Wildebeest, Blue Wildebeest, White-bearded Wildebeest"
5121,Microcebus tavaratra,"Tavaratra Mouse Lemur, Northern Rufous Mouse Lemur"
5122,Rattus tawitawiensis,"Tawitawi Forest Rat, Tawi-tawi Forest Rat, Tawitawi Island Rat"
5123,Budorcas taxicolor,Takin
5124,Taxidea taxus,American Badger
5125,Baiomys taylori,Northern Pygmy Mouse
5126,Scotinomys teguina,"Short-tailed Singing Mouse, Alston's Brown Mouse"
5127,Heteromys teleus,NA
5128,Echinops telfairi,Lesser Hedgehog Tenrec
5129,Crocidura telfordi,Telford's Shrew
5130,Stylodipus telum,"Thick-tailed Three-toed Jerboa, THICK-TAILED THREE-TOED JERBOA"
5131,Mazama temama,Central American Red Brocket
5132,Necromys temchuki,Temchuk's Bolo Mouse
5133,Catopuma temminckii,"Asiatic Golden Cat, Golden Cat, Temminck's Cat"
5134,Smutsia temminckii,"Temminck's Ground Pangolin, Cape Pangolin, Ground Pangolin, Scaly Anteater, South African Pangolin, Steppe Pangolin"
5135,Piliocolobus temminckii,"Temminck's Red Colobus, Temminck's Bay Colobus"
5136,Pteropus temminckii,Temminck's Flying Fox
5137,Molossops temminckii,Dwarf Dog-faced Bat
5138,Niviventer tenaster,"Indochinese Mountain Niviventer, Tenasserim White-bellied Rat"
5139,Paranyctimene tenax,Steadfast Tube-nosed Bat
5140,Murina tenebrosa,"Gloomy Tube-nosed Bat, Tsushima Tube-nosed Bat"
5141,Sorex tenellus,Inyo Shrew
5142,Mus tenellus,Delicate Mouse
5143,Calomys tener,"Delicate Vesper Mouse, Delicate Laucha"
5144,Plecotus teneriffae,"Canary Big-eared Bat, Canary Long-eared Bat, Tenerife Long-eared Bat"
5145,Tadarida teniotis,European Free-tailed Bat
5146,Neacomys tenuipes,Narrow-footed Bristly Mouse
5147,Neoromicia tenuipinnis,"Slenderwinged Pipistrelle Bat, White-winged Bat, White-winged Pipistrelle Bat, White-winged Serotine"
5148,Planigale tenuirostris,Narrow-nosed Planigale
5149,Reithrodontomys tenuirostris,Narrow-nosed Harvest Mouse
5150,Pipistrellus tenuis,"Least Pipistrelle, Indian Pygmy Bat"
5151,Sundasciurus tenuis,Slender Squirrel
5152,Crocidura tenuis,"Timor Shrew, Thin Shrew"
5153,Myosorex tenuis,Thin Mouse Shrew
5154,Aeromys tephromelas,"Black Flying Squirrel, Large Black Flying Squirrel"
5155,Piliocolobus tephrosceles,"Ashy Red Colobus, Uganda Red Colobus"
5156,Hipposideros tephrus,NA
5157,Neomys teres,Transcaucasian Water Shrew
5158,Xerospermophilus tereticaudus,Round-tailed Ground Squirrel
5159,Tapirus terrestris,"Lowland Tapir, Brazilian Tapir, South American Tapir"
5160,Mus terricolor,Earth-colored Mouse
5161,Phataginus tetradactyla,"Black-bellied Pangolin, Long-tailed Pangolin"
5162,Allactaga tetradactyla,Four-toed Jerboa
5163,Tamandua tetradactyla,"Southern Tamandua, Collared Anteater, Lesser Anteater, Northern Tamandua, Tamandua"
5164,Petrodromus tetradactylus,"Four-toed Sengi, Four-toed Elephant-shrew"
