,binomial,common_name
433,Myzopoda aurita,"Eastern Sucker-footed Bat, Madagascar Sucker-footed Bat, Old World Sucker-footed Bat, Sucker-footed Bat"
434,Lonchorhina aurita,"Common Sword-nosed Bat, Tomes's Sword-nosed Bat"
435,Geogale aurita,Large-eared Tenrec
436,Nycteris aurita,Andersen's Slit-faced Bat
437,Didelphis aurita,"Brazilian Common Opossum, Big-eared Opossum"
438,Plecotus auritus,"Brown Big-eared Bat, Brown Long-eared Bat"
439,Chrotopterus auritus,"Woolly False Vampire Bat, Big-eared Wooly Bat, Peter's Woolly False Vampire Bat"
440,Paratriaenops auritus,Grandidier's Trident Bat
441,Hemiechinus auritus,Long-eared Hedgehog
442,Mesocapromys auritus,"Eared Hutia, Large-eared Hutia"
443,Reithrodon auritus,Bunny Rat
444,Pseudomys auritus,Long-eared Mouse
445,Nephelomys auriventer,Ecuadorean Rice Rat
446,Herpestes auropunctatus,Small Indian Mongoose
447,Apomys aurorae,"Aurora Forest Mouse, Aurora Apomys"
448,Pseudomys australis,"Plains Mouse, Plains Rat"
449,Arctocephalus australis,South American Fur Seal
450,Dusicyon australis,"Falklands Wolf, Falkland Islands Wolf"
451,Syconycteris australis,"Common Blossom Bat, Eastern Blossom Bat, Southern Blossom Bat"
452,Petaurus australis,Yellow-bellied Glider
453,Lagenorhynchus australis,"Peale's Dolphin, Blackchin Dolphin"
454,Ctenomys australis,Southern Tuco-tuco
455,Crateromys australis,"Dinagat Bushy-tailed Cloud Rat, Dinagat Crateromys, Dinagat Hairy-tailed Cloud Rat, Dinagat Island Cloud Rat"
456,Miniopterus australis,"Little Long-fingered Bat, Little Bent-winged Bat"
457,Taphozous australis,"Coastal Sheath-tailed Bat, Coastal Tomb Bat, Southern Sheath-tailed Bat"
458,Microcavia australis,Southern Mountain Cavy
459,Heteromys australis,Southern Spiny Pocket Mouse
460,Myotis australis,"Australian Myotis, Ustrailian Myotis"
461,Austronomus australis,White-striped Free-tailed Bat
462,Eubalaena australis,Southern Right Whale
463,Plecotus austriacus,"Gray Big-eared Bat, Grey Long-eared Bat"
464,Rhipidomys austrinus,Southern Climbing Mouse
465,Myotis austroriparius,Southeastern Myotis
466,Oecomys auyantepui,NA
467,Muscardinus avellanarius,"Hazel Dormouse, Common Dormouse"
468,Nyctalus aviator,"Birdlike Noctule, Japanese Large Noctule"
469,Apodemus avicennicus,Persian Wood Mouse
470,Rhinopithecus avunculus,Tonkin Snub-nosed Monkey
471,Dusicyon avus,NA
472,Mastomys awashensis,"Awash Multimammate Mouse, Awash Mastomys"
473,Axis axis,"Chital, Axis Deer, Indian Spotted Deer, Spotted Deer"
474,Megaloglossus azagnyi,"Western Woermann's Fruit Bat, Azagnyi Fruit Bat"
475,Aotus azarae,Azara's Night Monkey
476,Ctenomys azarae,Azara's Tuco-tuco
477,Akodon azarae,"Azara's Grass Mouse, Azara's Akodont"
478,Dasyprocta azarae,Azara's Agouti
479,Nyctalus azoreum,"Azorean Bat, Azores Noctule"
480,Dermanura azteca,Aztec Fruit-eating Bat
481,Molossus aztecus,Aztec Mastiff Bat
482,Peromyscus aztecus,Aztec Mouse
483,Myosorex babaulti,"Babault's Mouse Shrew, Kivi Mouse Shrew"
484,Babyrousa babyrussa,"Hairy Babirusa, Babiroussa, Babirusa, Buru Babirusa, Deer Hog, Golden Babirusa, Moluccan Babirusa"
485,Sylvilagus bachmani,"Brush Rabbit, Riparian Brush Rabbit"
486,Catopuma badia,"Borneo Bay Cat, Bay Cat, Bornean Bay Cat"
487,Piliocolobus badius,"Upper Guinea Red Colobus, Bay Colobus, Upper Guinea Bay Colobus, Western Red Colobus"
488,Hybomys badius,"Cameroon Highland Hybomys, Eisentraut's Hybomys, Eisentraut's Striped Mouse"
489,Cannomys badius,"Lesser Bamboo Rat, Bay Bamboo Rat"
490,Maxomys baeodon,"Small Bornean Maxomys, Small Spiny Rat"
491,Thomasomys baeops,Beady-eyed Mouse
492,Hylomyscus baeri,"Baer's Wood Mouse, Baer's Hylomyscus"
493,Bullimus bagobus,"Mindanao Bullimus, Bagobo Forest Rat, Bagobo Rat, Large Mindanao Forest Rat"
494,Marmota baibacina,"Altai Marmot, Gray Marmot, Grey Marmot"
495,Naemorhedus baileyi,Red Goral
496,Chaetodipus baileyi,Bailey's Pocket Mouse
497,Crocidura baileyi,Bailey's Shrew
498,Calomyscus bailwardi,"Mouse-like Hamster, Zagros Mountains Calomyscus, Zagros Mountains Mouse-like Hamster"
499,Sorex bairdi,Baird's Shrew
500,Tapirus bairdii,"Baird's Tapir, Central American Tapir"
501,Berardius bairdii,"Baird's Beaked Whale, Four-toothed Whale, Giant Bottle-nosed Whale, Northern Four-toothed Whale, North Pacific Bottlenose Whale, Pacific Giant Bottlenosed Whale"
502,Mops bakarii,NA
503,Reithrodontomys bakeri,Baker's Small-toothed Harvest Mouse
504,Murina balaensis,Bala Tube-nosed Bat
505,Plecotus balensis,Ethiopian Big-eared Bat
506,Allactaga balikunica,Balikun Jerboa
507,Oreoryzomys balneator,Peruvian Rice Rat
508,Scotorepens balstoni,"Inland Broad-nosed Bat, Western Broad-nosed Bat"
509,Calomyscus baluchi,"Baluchi Brush-tailed Mouse, Baluchi Mouse-like Hamster, Pakistan Calomyscus"
510,Rattus baluensis,"Kinabalu Rat, Summit Rat"
511,Crocidura baluensis,Kinabalu Shrew
512,Callosciurus baluensis,Kinabalu Squirrel
513,Apomys banahao,"Banahaw Forest Mouse, Banahaw Apomys"
514,Rhynchomys banahao,NA
515,Tarsius bancanus,"Horsfield's Tarsier, Horsfield's Tarsier, Western Tarsier"
516,Osgoodomys banderanus,Michoacan Deer Mouse
517,Melomys bannisteri,Great Kai Island Melomys
518,Mus baoulei,Baoule's Mouse
519,Callicebus baptista,"Baptista Lake Titi Monkey, Baptista Lake Titi"
520,Cricetulus barabensis,Striped Dwarf Hamster
521,Alticola barakshin,Gobi Altai Mountain Vole
522,Eira barbara,"Tayra, Greyheaded Tayra"
523,Isothrix barbarabrownae,Barbara Brown's Brush-tailed Rat
524,Callicebus barbarabrownae,"Blond Titi Monkey, Barbara Brown's Titi, Northern Bahian Blond Titi, Northern Bahian Blond Titi Monkey"
525,Lemniscomys barbarus,"Barbary Striped Grass Mouse, Barbary Lemniscomys"
526,Barbastella barbastellus,"Western Barbastelle, Barbastelle"
527,Erignathus barbatus,Bearded Seal
528,Sus barbatus,"Bearded Pig, Western Bearded Pig"
529,Xenuromys barbatus,"Rock-dwelling Giant Rat, Mimic Tree-rat, Rock-dwelling Rat"
530,Trachypithecus barbei,"Tenasserim Lutung, Barbe's Langur, Barbe's Langur"
531,Otomys barbouri,Barbour's Vlei Rat
532,Petromyscus barbouri,Barbour's Rock Mouse
533,Tympanoctomys barrerae,"Plains Viscacha Rat, Red Vizcacha Rat"
534,Hylopetes bartelsi,"Bartels's Flying Squirrel, Bartel's Flying Squirrel"
535,Maxomys bartelsii,"Bartels's Javan Maxomys, Bartels's Spiny Rat"
536,Zaglossus bartoni,Eastern Long-beaked Echidna
537,Hybomys basilii,"Father Basilio's Striped Mouse, Bioko Hybomys"
538,Macrotarsomys bastardi,"Western Big-footed Mouse, Bastard Big-footed Mouse"
539,Neotragus batesi,"Bates' Pygmy Antelope, Dwarf Antelope"
540,Prionomys batesi,Dollman's Tree Mouse
541,Crocidura batesi,Bate's Shrew
542,Coendou baturitensis,Baturite Porcupine
543,Microtus bavaricus,"Bavarian Pine Vole, Bavarian Vole"
544,Vespadelus baverstocki,Inland Forest Bat
545,Funisciurus bayonii,Lunda Rope Squirrel
546,Peromyscus beatae,Orizaba Deermouse
547,Glauconycteris beatrix,Beatrix's Bat
548,Crocidura beatus,Mindanao Shrew
549,Hipposideros beatus,Benito Roundleaf Bat
550,Dobsonia beauforti,"Beaufort's Bare-backed Fruit Bat, Beaufort's Naked-backed Fruit Bat"
551,Mormopterus beccarii,"Beccari's Free-tailed Bat, Beccari's Mastiff Bat"
552,Emballonura beccarii,Beccari's Sheath-tailed Bat
553,Margaretamys beccarii,"Spiny Lowland Margaretamys, Beccari's Margareta Rat"
554,Crocidura beccarii,Beccari's Shrew
555,Myotis bechsteinii,"Bechstein's Myotis, Bechstein's Bat, Bechstein's Myotis"
556,Rhinolophus beddomei,"Beddome's Horseshoe Bat, Lesser Woolly Horseshoe Bat"
557,Proedromys bedfordi,Duke Of Bedford's Vole
558,Sorex bedfordiae,"Lesser Stripe-backed Shrew, Lesser Striped Shrew"
559,Otospermophilus beecheyi,California Ground Squirrel
560,Anomalurus beecrofti,"Beecroft's Scaly-tailed Squirrel, Beecroft's Flying Squirrel"
561,Glyphonycteris behnii,"Behn's Big-eared Bat, Behn's Bat"
562,Oryx beisa,Beisa Oryx
563,Tupaia belangeri,"Northern Treeshrew, Northern Tree Shrew"
564,Urocitellus beldingi,Belding's Ground Squirrel
565,Lemniscomys bellieri,"Bellier's Lemniscomys, Bellier's Lemniscomys, Bellier's Striped Grass Mouse"
566,Rhinolophus belligerator,NA
567,Antechinus bellus,"Fawn Antechinus, Fawn Marsupial Mouse"
568,Alouatta belzebul,"Red-handed Howler Monkey, Black and Red Howler, Red-handed Howler, Red-handed Howling Monkey"
569,Ateles belzebuth,"White-bellied Spider Monkey, Long-haired Spider Monkey, White-fronted Spider Monkey"
570,Hypsugo bemainty,Dark Madagascar pipistrelle
571,Chaerephon bemmeleni,"Gland-tailed Wrinkle-lipped Bat, Gland-tailed Free-tailed Bat, Van Bemmelen's Wrinkle-lipped Bat"
572,Sorex bendirii,"Marsh Shrew, Pacific Water Shrew"
573,Necromys benefactus,NA
574,Prionailurus bengalensis,Leopard Cat
575,Nycticebus bengalensis,"Bengal Slow Loris, Ashy Slow Loris, Bengal Loris, Northern Slow Loris"
576,Vulpes bengalensis,"Bengal Fox, Indian Fox"
577,Bandicota bengalensis,"Lesser Bandicoot Rat, Indian Mole-rat, Sind Rice Rat"
578,Dendrolagus bennettianus,"Bennett's Tree Kangaroo, Dusty Tree-kangaroo, Tcharibbeena"
579,Cynogale bennettii,"Otter Civet, Otter-civet, Sunda Otter Civet"
580,Gazella bennettii,"Chinkara, Indian Gazelle"
581,Abrocoma bennettii,Bennett's Chinchilla Rat
582,Mimon bennettii,"Golden Bat, Southern Golden Bat"
583,Menetes berdmorei,"Berdmore's Squirrel, Indochinese Ground Squirrel"
584,Berylmys berdmorei,"Berdmore's Berylmys, Small White-toothed Rat"
585,Moschus berezovskii,"Forest Musk Deer, Chinese Forest Musk Deer, Dwarf Musk Deer, South China Forest Musk Deer"
586,Ctenomys bergi,NA
587,Gorilla beringei,Eastern Gorilla
588,Macropus bernardus,"Black Wallaroo, Bernard's Wallaroo"
589,Callicebus bernhardi,"Prince Bernhard's Titi Monkey, Prince Bernhard's Titi"
590,Pseudohydromys berniceae,Bishop's Moss-Mouse
591,Microcebus berthae,"Madame Berthe's Mouse Lemur, Berthe's Mouse Lemur, Berthe's Mouse Lemur"
592,Selevinia betpakdalaensis,Desert Dormouse
593,Avahi betsileo,Betsileo Woolly Lemur
594,Lepilemur betsileo,Betsileo Sportive Lemur
595,Brachyuromys betsileoensis,"Betsileo Short-tailed Rat, Lesser Short-tailed Rat"
596,Sicista betulina,Northern Birch Mouse
597,Ozotoceros bezoarticus,Pampas Deer
598,Petaurus biacensis,Biak Glider
599,Rhogeessa bickhami,NA
600,Ratufa bicolor,"Black Giant Squirrel, Malayan Giant Squirrel"
601,Saguinus bicolor,"Brazilian Bare-faced Tamarin, Pied Bare-faced Tamarin, Pied Bare-face Tamarin, Pied Tamarin"
602,Murina bicolor,"Bicolored Tube-nosed Bat, Yellow-chested Tube-nosed Bat"
603,Wallabia bicolor,Swamp Wallaby
604,Hipposideros bicolor,"Bicolored Leaf-nosed Bat, Bicolored Roundleaf Bat"
605,Coendou bicolor,Bicolor-spined Porcupine
606,Oecomys bicolor,"Bicolored Arboreal Rice Rat, White-bellied Oecomys"
607,Diceros bicornis,"Black Rhinoceros, Hook-lipped Rhinoceros"
608,Vampyriscus bidens,Bedentate Yellow-eared Bat
609,Tonatia bidens,Greater Round-eared Bat
610,Sturnira bidens,Bidentate Yellow-shouldered Bat
611,Mesoplodon bidens,"Sowerby's Beaked Whale, North Atlantic Beaked Whale"
612,Rousettus bidens,"Manado Rousette, Manado Fruit-bat, Manado Fruit Bat"
613,Rhinopithecus bieti,"Black Snub-nosed Monkey, Yunnan Snub-nosed Monkey"
614,Felis bieti,"Chinese Mountain Cat, Chinese Alpine Steppe Cat, Chinese Desert Cat, Chinese Steppe Cat, Grass Cat"
615,Nyctophilus bifax,Eastern Long-eared Bat
616,Pygoderma bilabiatum,"Ipanema Bat, Ipanema Broad-nosed Bat"
617,Pseudantechinus bilarni,"Sandstone Antechinus, Sandstone Pseudantechinus"
618,Saccopteryx bilineata,Greater Sac-winged Bat
619,Gazella bilkis,"Queen of Sheba's Gazelle, Yemen Gazelle"
620,Thylogale billardierii,"Tasmanian Pademelon, Red-bellied Pademelon"
621,Uroderma bilobatum,Tent-making Bat
622,Sminthopsis bindi,Kakadu Dunnart
623,Nandinia binotata,"African Palm Civet, Tree Civet, Two-spotted Palm Civet"
624,Arctictis binturong,"Binturong, Bearcat"
625,Marmosops bishopi,Bishop's Slender Opossum
626,Bison bison,American Bison
627,Isothrix bistriata,Yellow-crowned Brush-tailed Rat
628,Hippocamelus bisulcus,"Patagonian Huemul, Chilean Guemal, Chilean Huemul, South Andean Deer, South Andean Huemul"
629,Biswamoyopterus biswasi,"Namdapha Flying Squirrel, Namdapha Giant Flying Squirrel"
630,Chaerephon bivittatus,"Spotted Wrinkle-lipped Bat, Spotted Free-tailed Bat, Spotted Gland-tailed Bat"
631,Pontoporia blainvillei,La Plata River Dolphin
632,Mormoops blainvillei,Antillean Ghost-faced Bat
633,Phyllomys blainvillii,Golden Atlantic Tree Rat
634,Madromys blanfordi,"White-tailed Wood Rat, Blanford's Rat, Blanford's Rat"
635,Sphaerias blanfordi,"Blandford's Fruit Bat, Blanford's Fruit Bat"
636,Jaculus blanfordi,"Blanford's Jerboa, Blanford's Jerboa, Greater Threetoed Jerboa"
637,Hesperoptenus blanfordi,"Blanford's Bat, Least False Serotine"
638,Rattus blangorum,Aceh Rat
639,Myosorex blarina,Montane Mouse Shrew
640,Rhinolophus blasii,"Blasius's Horseshoe Bat, Peak-saddle Horseshoe Bat, Peters's Horseshoe Bat"
641,Arvicanthis blicki,"Blick's Grass Rat, Blick's Arvicanthis"
642,Lasiurus blossevillii,Southern Red Bat
643,Dasycercus blythi,Brush-tailed Mulgara
644,Myotis blythii,"Lesser Mouse-eared Myotis, Lesser Mouse-eared Bat"
645,Marmota bobak,Bobak Marmot
646,Allactodipus bobrinskii,Bobrinski's Jerboa
647,Eptesicus bobrinskoi,Bobrinski's Serotine
648,Fukomys bocagei,Bocage's Mole Rat
649,Aethomys bocagei,"Bocage's Rock Rat, Bocage's Aethomys"
650,Steatomys bocagei,NA
651,Myotis bocagii,"Bocage's Mouse-eared Bat, Bocage's Banana Bat, Bocage's Hairy Bat, Rufous Hairy Bat, Rufous Mouse-eared Bat, Rufous Mouse-eared Myotis"
652,Rhinolophus bocharicus,Bokhara Horseshoe Bat
653,Uromys boeadii,Biak Giant Rat
654,Hipposideros boeadii,Boeadi's Roundleaf Bat
655,Paraxerus boehmi,Boehm's Bush Squirrel
656,Gerbilliscus boehmi,Boehm's Gerbil
657,Dinaromys bogdanovi,"Balkan Snow Vole, Martino's Snow Vole, Martino's Vole"
658,Dermanura bogotensis,NA
659,Neomicroxus bogotensis,"Bogota Grass Mouse, Bogot Akodont"
660,Sturnira bogotensis,Bogota Yellow-shouldered Bat
661,Lonchophylla bokermanni,Bokermann's Nectar Bat
662,Pseudomys bolami,Bolam's Mouse
663,Transandinomys bolivaris,Bolivar Rice Rat
664,Calomys boliviae,"Bolivian Vesper Mouse, Bolivian Laucha"
665,Saimiri boliviensis,"Bolivian/peruvian Squirrel Monkey, Black-headed Squirrel Monkey, Bolivian Squirrel Monkey"
666,Abrocoma boliviensis,Bolivian Chinchilla Rat
667,Dactylomys boliviensis,Bolivian Bamboo Rat
668,Ctenomys boliviensis,Bolivian Tuco-tuco
669,Akodon boliviensis,"Bolivian Grass Mouse, Bolivian Akodont"
670,Auliscomys boliviensis,"Bolivian Big-eared Mouse, Bolivian Pericote"
671,Erophylla bombifrons,Brown Flower Bat
672,Myotis bombinus,Far Eastern Myotis
673,Thomasomys bombycinus,Silky Oldfield Mouse
674,Balaenoptera bonaerensis,Antarctic Minke Whale
675,Eumops bonariensis,Dwarf Bonneted Bat
676,Phyllotis bonariensis,Buenos Aires Leaf-eared Mouse
677,Bison bonasus,"European Bison, Wisent"
678,Molossus bondae,NA
679,Ctenomys bonettoi,Bonetto's Tuco-tuco
680,Microcebus bongolavensis,Bongolava Mouse Lemur
681,Rattus bontanus,"Southwestern Xanthurus Rat, Bonthain Rat"
682,Mus booduga,"Common Indian Field Mouse, Little Indian Field Mouse"
683,Scotophilus borbonicus,Lesser Yellow Bat
684,Balaenoptera borealis,Sei Whale
685,Lissodelphis borealis,Northern Right Whale Dolphin
686,Lasiurus borealis,"Eastern Red Bat, Red Bat"
687,Synaptomys borealis,"Northern Bog Lemming, Okanagan Bog Lemming"
688,Rhinolophus borneensis,Bornean Horseshoe Bat
689,Myotis borneoensis,Bornean Whiskered Myotis
690,Mazama bororo,Small Red Brocket
691,Laephotis botswanae,"Botswana Longeared, Botswana Long-eared Bat, Botswanan Long-eared Bat"
692,Eptesicus bottae,Botta's Serotine
693,Thomomys bottae,Botta's Pocket Gopher
694,Gerbillus bottai,Botta's Gerbil
695,Crocidura bottegi,Bottego's Shrew
696,Crocidura bottegoides,Bale Shrew
697,Perameles bougainville,"Western Barred Bandicoot, Barred Bandicoot, Long-nosed Bandicoot, Mal, Nymal"
698,Melomys bougainville,"Bougainville Melomys, Bougainville Mosaic-tailed Rat"
699,Genetta bourloni,Bourlon's Genet
700,Piliocolobus bouvieri,Bouvier's Red Colobus
701,Mesoplodon bowdoini,"Andrew's Beaked Whale, Andrews' Beaked Whale, Splaytooth Beaked Whale"
702,Berylmys bowersi,"Bower's White-toothed Rat, Bower's Berylmys, Bower's Rat"
703,Peromyscus boylii,Brush Mouse
704,Myonycteris brachycephala,Sao Tom Collared Fruit Bat
705,Platyrrhinus brachycephalus,Short-headed Broad-nosed Bat
706,Microtus brachycercus,Calabria Pine Vole
707,Cryptotis brachyonyx,Eastern Cordillera Small-footed Shrew
708,Cynopterus brachyotis,"Lesser Dog-faced Fruit Bat, Common Short-nosed Fruit Bat, Lesser Short-nosed Fruit Bat"
709,Lampronycteris brachyotis,"Orange-throated Bat, Yellow-throated Big-eared Bat"
710,Petrogale brachyotis,Short-eared Rock Wallaby
711,Philetor brachypterus,"Rohu's Bat, Short-winged Pipistrelle"
712,Mops brachypterus,"Sierra Leone Mops Bat, Short-winged Mops Bat, Sierra Leone Free-tailed Bat, White-fingered Free-tailed Bat"
713,Elephantulus brachyrhynchus,"Short-snouted Sengi, Short-snouted Elephant-shrew"
714,Miniopterus brachytragos,NA
715,Hystrix brachyura,"Malayan Porcupine, Himalayan Crestless Porcupine"
716,Setonix brachyurus,Quokka
717,Chrysocyon brachyurus,Maned Wolf
718,Herpestes brachyurus,Short-tailed Mongoose
719,Lepus brachyurus,Japanese Hare
720,Niviventer brahma,"Brahma White-bellied Rat, Thomas' Chestnut Rat"
721,Mesocricetus brandti,Brandt's Hamster
722,Lasiopodomys brandtii,Brandt's Vole
723,Myotis brandtii,"Brandt's Myotis, Brandt's Bat"
724,Dinomys branickii,Pacarana
725,Gerbilliscus brantsii,Highveld Gerbil
726,Parotomys brantsii,"Brants's Whistling Rat, Brants' Whistling Rat"
727,Lophostoma brasiliense,Pygmy Round-eared Bat
728,Pteronura brasiliensis,"Giant Otter, Giant Brazilian Otter"
729,Sylvilagus brasiliensis,"Tapeti, Forest Rabbit"
730,Eptesicus brasiliensis,Brazilian Brown Bat
731,Phyllomys brasiliensis,Red-nosed Tree Rat
732,Ctenomys brasiliensis,Brazilian Tuco-tuco
733,Holochilus brasiliensis,Web-footed Marsh Rat
734,Tadarida brasiliensis,"Brazilian Free-tailed Bat, Mexican Free-tailed Bat"
735,Pogonomelomys brassi,Grey Pogonomelomys
736,Desmodilliscus braueri,Pouched Gerbil
737,Steno bredanensis,Rough-toothed Dolphin
738,Chaerephon bregullae,"Fijian Free-tailed Bat, Fijian Mastiff Bat"
739,Rhinopithecus brelichi,"Grey Snub-nosed Monkey, Gray Snub-nosed Monkey, Guizhou Snub-nosed Monkey"
740,Oligoryzomys brendae,Brenda's Colilargo
741,Blarina brevicauda,Northern Short-tailed Shrew
742,Carollia brevicauda,Silky Short-tailed Bat
743,Proechimys brevicauda,Huallaga Spiny Rat
744,Zygodontomys brevicauda,Short-tailed Cane Mouse
745,Spermophilus brevicauda,Brandt's Ground Squirrel
746,Monodelphis brevicaudata,"Northern Red-sided Opossum, Red-legged Short-tailed Opossum"
747,Microgale brevicaudata,NA
748,Lophuromys brevicaudus,Short-tailed Brush-furred Rat
749,Kogia breviceps,Pygmy Sperm Whale
750,Geomys breviceps,Baird's Pocket Gopher
751,Hipposideros breviceps,"Short-headed Leaf-nosed Bat, Short-headed Roundleaf Bat"
752,Petaurus breviceps,Sugar Glider
753,Blarinomys breviceps,"Brazilian Shrew Mouse, Blarinine Akodont, Brazilian Shrew-mouse"
754,Orcaella brevirostris,Irrawaddy Dolphin
755,Cormura brevirostris,"Chestnut Sac-winged Bat, Wagner's Sac-winged Bat"
756,Reithrodontomys brevirostris,Short-nosed Harvest Mouse
757,Microtus breweri,Beach Vole
758,Parascalops breweri,Hairy-tailed Mole
759,Mazama bricenii,"Mrida Brocket, Meroia Brocket, Rufous Brocket"
760,Octodon bridgesi,Bridges's Degu
761,Peroryctes broadbenti,Giant Bandicoot
762,Syntheosciurus brochus,"Bangs's Mountain Squirrel, Mountain Squirrel, Neotropical Montane Squirrel"
763,Vampyriscus brocki,Brock's Yellow-eared Bat
764,Gerbillus brockmani,Brockman's Gerbil
765,Myomyscus brockmani,"Brockman's Myomyscus, Brockman's Myomyscus"
766,Sundasciurus brookei,Brooke's Squirrel
767,Delanymys brooksi,"Delany's Swamp Mouse, Delany's Mouse"
768,Dyacopterus brooksi,Brooks's Dyak Fruit Bat
769,Micronycteris brosseti,NA
770,Marmota broweri,Alaska Marmot
771,Thylogale browni,New Guinea Pademelon
772,Geocapromys brownii,"Brown's Hutia, Indian Coney, Jamaican Hutia"
773,Apomys brownorum,"Mt. Tapulao Forest Mouse, Brown's Apomys, Mt. Tapulao Apomys"
774,Heterohyrax brucei,"Bush Hyrax, Hoggar Hyrax, Yellow-spotted Hyrax, Yellow-spotted Rock Hyrax"
775,Zaglossus bruijnii,"Western Long-beaked Echidna, Long-beaked Echidna, Long-nosed Echidna, Long-nosed Spiny Anteater, New Guinea Long-nosed Echidna"
