binomial,AdultBodyMass_g,Red List status,TrophicLevel,Order
Batomys granti,169.53,LC,Herbivore,RODENTIA
Batomys russatus,177.645,EN,Herbivore,RODENTIA
Batomys salomonseni,185.76,LC,Herbivore,RODENTIA
Bauerus dubiaquercus,22.22,NT,Insectivore,CHIROPTERA
Bdeogale crassicauda,1722.13,LC,Carnivore,CARNIVORA
Bdeogale jacksoni,2500,NT,Carnivore,CARNIVORA
Bdeogale nigripes,2623.01,LC,Insectivore,CARNIVORA
Bdeogale omnivora,2281.713333,VU,Insectivore,CARNIVORA
Beamys hindei,75.8,LC,Omnivore,RODENTIA
Beatragus hunteri,79132.17,CR,Herbivore,CETARTIODACTYLA
Belomys pearsonii,590.0703713,DD,Herbivore,RODENTIA
Berylmys berdmorei,235,LC,Omnivore,RODENTIA
Berylmys bowersi,358.68,LC,Omnivore,RODENTIA
Berylmys mackenziei,296.84,DD,Omnivore,RODENTIA
Berylmys manipulus,296.84,DD,Omnivore,RODENTIA
Bettongia gaimardi,1667.55,NT,Herbivore,DIPROTODONTIA
Bettongia lesueur,1447.27,NT,Omnivore,DIPROTODONTIA
Bettongia penicillata,1184.35,CR,Herbivore,DIPROTODONTIA
Bettongia tropica,1256.58,EN,Omnivore,DIPROTODONTIA
Bibimys chacoensis,28,LC,Herbivore,RODENTIA
Bibimys labiosus,29,LC,Herbivore,RODENTIA
Bibimys torresi,28,NT,Herbivore,RODENTIA
Bison bison,624577.1,NT,Herbivore,CETARTIODACTYLA
Biswamoyopterus biswasi,1613.299,CR,Herbivore,RODENTIA
Blanfordimys afghanus,60.64641072,LC,Herbivore,RODENTIA
Blanfordimys bucharensis,60.64641072,LC,Herbivore,RODENTIA
Blarina brevicauda,18.56,LC,Insectivore,EULIPOTYPHLA
Blarina carolinensis,11.91,LC,Insectivore,EULIPOTYPHLA
Blarina hylophaga,14.49,LC,Insectivore,EULIPOTYPHLA
Blarinella griselda,8,LC,Omnivore,EULIPOTYPHLA
Blarinella quadraticauda,12.5,NT,Omnivore,EULIPOTYPHLA
